date,n,ct
2013-03-02,122,80487
2013-03-03,105,80592
2013-03-04,164,80756
2013-03-05,186,80942
2013-03-06,150,81092
2013-03-07,157,81249
2013-03-08,143,81392
2013-03-09,101,81493
2013-03-10,161,81654
2013-03-11,171,81825
2013-03-12,174,81999
2013-03-13,169,82168
2013-03-14,150,82318
2013-03-15,152,82470
2013-03-16,102,82572
2013-03-17,121,82693
2013-03-18,152,82845
2013-03-19,178,83023
2013-03-20,184,83207
2013-03-21,155,83362
2013-03-22,168,83530
2013-03-23,90,83620
2013-03-24,121,83741
2013-03-25,151,83892
2013-03-26,164,84056
2013-03-27,186,84242
2013-03-28,181,84423
2013-03-29,139,84562
2013-03-30,90,84652
2013-03-31,100,84752
2013-04-01,136,84888
2013-04-02,192,85080
2013-04-03,181,85261
2013-04-04,182,85443
2013-04-05,149,85592
2013-04-06,102,85694
2013-04-07,136,85830
2013-04-08,188,86018
2013-04-09,238,86256
2013-04-10,220,86476
2013-04-11,210,86686
2013-04-12,351,87037
2013-04-13,225,87262
2013-04-14,178,87440
2013-04-15,214,87654
2013-04-16,185,87839
2013-04-17,180,88019
2013-04-18,242,88261
2013-04-19,249,88510
2013-04-20,142,88652
2013-04-21,134,88786
2013-04-22,177,88963
2013-04-23,204,89167
2013-04-24,189,89356
2013-04-25,216,89572
2013-04-26,159,89731
2013-04-27,131,89862
2013-04-28,109,89971
2013-04-29,239,90210
2013-04-30,181,90391
2013-05-01,190,90581
2013-05-02,259,90840
2013-05-03,251,91091
2013-05-04,111,91202
2013-05-05,120,91322
2013-05-06,174,91496
2013-05-07,190,91686
2013-05-08,219,91905
2013-05-09,183,92088
2013-05-10,152,92240
2013-05-11,141,92381
2013-05-12,111,92492
2013-05-13,169,92661
2013-05-14,191,92852
2013-05-15,218,93070
2013-05-16,176,93246
2013-05-17,143,93389
2013-05-18,88,93477
2013-05-19,92,93569
2013-05-20,201,93770
2013-05-21,164,93934
2013-05-22,192,94126
2013-05-23,170,94296
